employee_id,name,years_in_company,department,education_level,job_level,current_salary,previous_promotions,last_promotion_year,performance_score,manager_feedback,peer_feedback,kpi_score,training_hours_completed,certifications_count,innovation_score,attendance_rate,overtime_hours,internal_initiatives,team_collaboration_score,mentorship_score,disciplinary_actions,project_delivery_success_rate,client_feedback_score,skill_progression_score,cross_functional_exposure,workload_balance,learning_agility,department_budget_factor,vacant_positions_in_level,policy_override_flag,remote_work_eligibility,promotion_received,salary_increase_percent
E04541,Justin Small,25,IT,Master,Mid,888857,2,2025,5.0,5.0,4.83,1.0,52,4,0.46,0.91,31,3,0.95,1.0,0,1.0,5.0,0.77,0,0.5,1.0,1.22,0,True,False,1,15
E00836,Timothy Hill,13,Sales,Bachelor,Mid,765000,3,2015,4.59,4.82,4.92,1.0,42,3,0.49,0.95,7,0,1.0,0.71,0,1.0,5.0,0.51,3,0.4,0.93,1.3,1,True,False,1,9
E04430,Kimberly Thomas,23,IT,Bachelor,Mid,889407,3,2016,5.0,4.8,4.08,1.0,32,6,0.68,0.91,179,1,1.0,1.0,0,1.0,5.0,0.67,4,0.45,1.0,1.3,3,True,False,1,14
E04836,Sharon Williams,10,Legal,Bachelor,Entry,565223,2,2022,4.82,5.0,4.6,1.0,31,3,0.47,0.99,20,2,1.0,0.42,0,1.0,5.0,0.66,1,0.7,0.85,1.25,0,True,False,1,14
E02038,Michael Henry,14,Sales,Bachelor,Entry,637667,3,2013,4.6,5.0,5.0,1.0,52,2,0.73,0.94,35,0,0.77,0.91,0,0.94,5.0,0.68,0,0.68,0.85,1.3,3,True,False,1,18
E04455,Daniel Garcia,21,Finance,Master,Entry,651817,3,2022,5.0,5.0,3.6,1.0,46,5,0.55,0.96,12,2,1.0,0.8,0,1.0,4.9,0.78,2,0.29,0.77,1.3,0,True,False,1,9
E01869,Rachel Little,13,IT,Bachelor,Senior,1496464,3,2023,5.0,5.0,5.0,1.0,33,2,0.44,0.92,24,1,1.0,0.95,0,0.9,5.0,1.0,3,0.56,0.81,1.22,1,True,False,1,9
E03453,Nathan Lang,25,Legal,Master,Mid,820568,2,2025,5.0,5.0,4.03,1.0,56,2,0.71,0.87,13,0,0.99,0.91,0,0.9,5.0,0.61,5,0.59,1.0,1.3,0,True,False,1,9
E01054,Robert Torres,24,Operations,Master,Entry,550489,3,2014,4.83,4.84,4.15,1.0,41,2,0.39,0.94,43,1,0.91,1.0,0,1.0,5.0,1.0,4,0.74,1.0,1.23,0,True,True,1,13
E03074,Jennifer Lee,25,Sales,Bachelor,Entry,531476,0,2004,4.53,5.0,3.78,1.0,57,4,0.44,0.92,6,1,0.66,0.91,0,1.0,5.0,0.48,4,0.62,0.71,1.3,1,True,True,1,13
E03155,Steven Thomas,16,Finance,Master,Mid,907193,3,2015,4.67,4.69,3.86,1.0,33,2,0.36,0.95,8,3,1.0,0.73,0,1.0,5.0,0.84,5,0.5,1.0,1.3,1,True,False,1,8
E04491,Chad Williams,25,Finance,Bachelor,Entry,510000,3,2010,4.66,4.78,4.84,1.0,33,2,0.26,0.94,0,2,0.7,0.98,0,0.93,5.0,0.91,5,0.51,0.85,1.26,2,True,False,1,12
E00795,Jerry Brown,7,IT,PhD,Leadership,3444154,1,2024,5.0,4.4,4.39,1.0,30,0,0.61,0.95,1,1,0.87,0.74,0,0.93,5.0,0.67,4,0.85,0.62,1.28,3,True,True,1,16
E00099,Jessica Smith,24,IT,Diploma,Senior,1242705,2,2018,4.84,5.0,4.54,1.0,51,5,0.7,0.91,8,3,0.87,1.0,0,0.83,5.0,0.8,1,0.81,0.8,1.3,0,True,False,1,8
E03448,Debra Chandler,22,IT,Master,Mid,765000,1,2024,4.96,5.0,5.0,0.97,42,6,0.5,0.9,22,1,0.83,1.0,0,0.93,4.22,0.65,2,0.96,0.83,1.27,3,True,False,1,17
E02956,Rhonda Pena,12,IT,Master,Mid,1031080,2,2014,4.46,4.89,3.87,1.0,32,3,0.34,0.94,14,2,0.69,0.87,0,0.98,5.0,0.99,4,0.85,0.74,1.3,1,True,True,1,10
E00027,Justin Baker,25,HR,Bachelor,Leadership,3421247,3,2009,4.6,5.0,5.0,1.0,55,3,0.28,0.92,10,3,1.0,0.99,0,1.0,3.79,0.69,2,0.64,0.73,1.3,0,True,False,1,12
E00897,Aimee Gonzalez,21,Finance,Master,Manager,2203184,1,2010,4.66,4.87,4.72,1.0,39,5,0.39,0.92,21,3,1.0,1.0,0,1.0,5.0,0.67,3,1.0,0.72,1.13,3,True,True,1,12
E03068,Alexander Hunt,21,Operations,Diploma,Entry,606459,2,2023,5.0,4.89,4.11,1.0,44,2,0.46,0.96,20,0,0.85,1.0,0,0.82,5.0,0.67,2,1.0,1.0,1.3,1,True,False,1,16
E00041,Paula Moreno,21,Sales,Bachelor,Mid,1005442,2,2025,4.92,4.54,3.64,1.0,56,5,0.49,0.97,41,1,0.98,0.95,0,1.0,5.0,0.73,4,0.65,0.9,1.23,1,True,False,1,12
E00515,Angelica Parker,6,Operations,Bachelor,Senior,1453780,2,2022,5.0,5.0,4.58,1.0,26,1,0.51,0.92,4,1,0.98,0.9,0,1.0,5.0,0.73,3,0.61,0.96,1.3,3,False,False,1,18
E00907,Michelle Davis DVM,12,Sales,Master,Mid,822969,3,2023,4.98,5.0,5.0,1.0,37,2,0.48,0.93,24,0,0.88,0.93,0,1.0,4.93,0.56,2,0.58,0.62,1.27,1,False,False,1,17
E00289,Lisa Allen,25,IT,Master,Manager,1827114,3,2018,4.86,5.0,4.4,1.0,50,4,0.36,0.92,34,3,0.91,1.0,0,0.81,4.86,0.91,0,0.88,0.7,1.3,3,True,False,1,14
E03609,Phillip Anderson,9,Finance,Bachelor,Senior,1328584,2,2025,5.0,5.0,5.0,1.0,27,2,0.44,0.92,14,3,0.71,0.6,0,0.99,5.0,0.67,4,0.97,0.95,1.26,0,False,True,1,18
E00046,Philip Cannon,11,Legal,Bachelor,Senior,1517388,2,2018,4.74,4.9,4.08,1.0,30,0,0.5,0.93,16,0,0.88,0.84,0,0.88,5.0,0.37,0,0.71,0.72,1.27,0,True,True,1,15
